"","t_1","t_2","t_3","t_4","y_2","y_3","y_4","se_2","se_3","se_4","V","na"
"1",1,5,NA,NA,0.284314186345396,NA,NA,0.387759426163451,NA,NA,NA,2
"2",1,8,NA,NA,-0.0882478136275328,NA,NA,0.424250037167432,NA,NA,NA,2
"3",2,3,NA,NA,1.36376932429864,NA,NA,0.621067031411365,NA,NA,NA,2
"4",1,4,NA,NA,-0.507895156718546,NA,NA,0.404635828450849,NA,NA,NA,2
"5",2,3,NA,NA,0,NA,NA,0.702664963174441,NA,NA,NA,2
"6",2,3,NA,NA,1.50932139951021,NA,NA,0.911846259812229,NA,NA,NA,2
"7",1,7,NA,NA,-0.843577541579489,NA,NA,0.461709287358479,NA,NA,NA,2
"8",1,2,NA,NA,-0.123574144486692,NA,NA,0.383877127792583,NA,NA,NA,2
"9",4,9,NA,NA,0.0385643488198112,NA,NA,0.495157679396804,NA,NA,NA,2
"10",1,5,NA,NA,0.732129077323943,NA,NA,0.451400733883443,NA,NA,NA,2
"11",2,3,NA,NA,1.001922270538,NA,NA,0.553706462544588,NA,NA,NA,2
"12",1,10,NA,NA,-0.654394485641171,NA,NA,1.50290559895169,NA,NA,NA,2
"13",2,3,NA,NA,1.84330658914266,NA,NA,1.07820427416798,NA,NA,NA,2
"14",1,4,NA,NA,0.553077868494877,NA,NA,0.428210864547611,NA,NA,NA,2
"15",1,6,NA,NA,-1.46417889314901,NA,NA,1.15577091550844,NA,NA,NA,2
"16",1,4,NA,NA,-3.34602034828166,NA,NA,1.49763168572795,NA,NA,NA,2
"17",1,2,NA,NA,-2.09721959523359,NA,NA,0.613586425103603,NA,NA,NA,2
"18",5,11,12,NA,-0.906267636059134,-0.784775956061778,NA,0.535679680852365,0.518303516777828,NA,0.347142857142857,3
"19",1,4,7,NA,-2.48876816849486,-0.386547303759386,NA,0.734950177596907,0.59546109795511,NA,0.0656410256410257,3
"20",2,3,6,NA,0.159044990173059,0.211580575642786,NA,1.01328852703536,0.858087686747569,NA,0.20402,3
"21",1,2,3,4,-1.10036088838082,-1.18290781382868,-0.545284282775365,1.05972691659113,1.27024067447001,1.58876805358924,0.361,4
